,Name,Other_Names,Link,Image_Link
117,Müller Sausage Shop Vendor,Elsa,https://myanimelist.net/character/134971/M%C3%BCller_Sausage_Shop_Vendor,https://cdn.myanimelist.net/images/characters/12/294125.jpg
118,Karl Neumann,Karl Shubert,https://myanimelist.net/character/8622/Karl_Neumann,https://cdn.myanimelist.net/images/characters/5/287040.jpg
119,Helenka Novakova,Margot Langer,https://myanimelist.net/character/38843/Helenka_Novakova,https://cdn.myanimelist.net/images/characters/11/110955.jpg
120,Nurse B,Blonde Haired Nurse,https://myanimelist.net/character/217497/Nurse_B,https://cdn.myanimelist.net/images/characters/6/487835.jpg
121,Peter,Peter,https://myanimelist.net/character/134977/Peter,https://cdn.myanimelist.net/images/characters/4/294131.jpg
122,Petra,Petra,https://myanimelist.net/character/129996/Petra,https://cdn.myanimelist.net/images/characters/7/288060.jpg
123,Pionere,Pionere,https://myanimelist.net/character/134979/Pionere,https://cdn.myanimelist.net/images/characters/13/294133.jpg
124,Police Chief,Police Chief,https://myanimelist.net/character/134980/Police_Chief_,https://cdn.myanimelist.net/images/characters/2/294134.jpg
125,Police Chief Hamrik,Police Chief Hamrik,https://myanimelist.net/character/134915/Police_Chief_Hamrik,https://cdn.myanimelist.net/images/characters/9/294069.jpg
126,Professor Kronecker,Professor Kronecker,https://myanimelist.net/character/134981/Professor_Kronecker,https://cdn.myanimelist.net/images/characters/14/294135.jpg
127,Prostitute,Prostitute,https://myanimelist.net/character/134982/Prostitute_,https://cdn.myanimelist.net/images/characters/7/294136.jpg
128,Karel Ranke,Karel Ranke,https://myanimelist.net/character/134933/Karel_Ranke,https://cdn.myanimelist.net/images/characters/4/294087.jpg
129,Martin Reest,Martin Reest,https://myanimelist.net/character/12117/Martin_Reest,https://cdn.myanimelist.net/images/characters/8/289038.jpg
130,Julius Reichwein,Julius Reichwein,https://myanimelist.net/character/11080/Julius_Reichwein,https://cdn.myanimelist.net/images/characters/14/28592.jpg
131,Robbie,Robbie,https://myanimelist.net/character/134987/Robbie,https://cdn.myanimelist.net/images/characters/11/294141.jpg
132,Roberto,Roberto,https://myanimelist.net/character/8611/Roberto,https://cdn.myanimelist.net/images/characters/7/494074.jpg
133,Rosso,Rosso,https://myanimelist.net/character/102293/Rosso,https://cdn.myanimelist.net/images/characters/3/289430.jpg
134,Ruhenheim Police Chief,Ruhenheim Police Chief,https://myanimelist.net/character/134990/Ruhenheim_Police_Chief,https://cdn.myanimelist.net/images/characters/13/294144.jpg
135,Schumer,Shemel,https://myanimelist.net/character/216249/Schumer,https://cdn.myanimelist.net/images/characters/11/485569.jpg
136,Hans Georg Schuwald,Bayern Vampire,https://myanimelist.net/character/8620/Hans_Georg_Schuwald,https://cdn.myanimelist.net/images/characters/9/70925.jpg
137,Section Manager Farobek,Section Manager Farobek,https://myanimelist.net/character/217485/Section_Manager_Farobek,https://cdn.myanimelist.net/images/characters/11/487822.jpg
138,Christof Sievernich,Christof Sievernich,https://myanimelist.net/character/8614/Christof_Sievernich,https://cdn.myanimelist.net/images/characters/6/289992.jpg
139,Max Steindorf,Secretary,https://myanimelist.net/character/130002/Max_Steindorf,https://cdn.myanimelist.net/images/characters/10/284689.jpg
140,Jan Suk,Jan Suk,https://myanimelist.net/character/8618/Jan_Suk,https://cdn.myanimelist.net/images/characters/10/110953.jpg
141,Suleiman,Suleiman,https://myanimelist.net/character/216252/Suleiman,https://cdn.myanimelist.net/images/characters/15/485573.jpg
142,Erna Tietze,Erna Tietze,https://myanimelist.net/character/212379/Erna_Tietze,https://cdn.myanimelist.net/images/characters/9/477235.jpg
143,Tung,Tung,https://myanimelist.net/character/216251/Tung,https://cdn.myanimelist.net/images/characters/7/485572.jpg
144,Turkish Woman,Turkish Woman,https://myanimelist.net/character/217488/Turkish_Woman,https://cdn.myanimelist.net/images/characters/3/487825.jpg
145,Fritz Verdemann,Fritz Verdemann,https://myanimelist.net/character/8619/Fritz_Verdemann,https://cdn.myanimelist.net/images/characters/14/288461.jpg
146,Ilsa Verdemann,Ilsa Verdemann,https://myanimelist.net/character/134896/Ilsa_Verdemann,https://cdn.myanimelist.net/images/characters/14/294050.jpg
147,Egon Weissbach,Egon Weissbach,https://myanimelist.net/character/129998/Egon_Weissbach,https://cdn.myanimelist.net/images/characters/7/289647.jpg
148,Helmut Wolf,General,https://myanimelist.net/character/8613/Helmut_Wolf,https://cdn.myanimelist.net/images/characters/11/110950.jpg
149,Yamamoto,Yamamoto,https://myanimelist.net/character/130000/Yamamoto,https://cdn.myanimelist.net/images/characters/14/284687.jpg
150,Young Vietnamese Doctor,Young Vietnamese Doctor,https://myanimelist.net/character/135005/Young_Vietnamese_Doctor,https://cdn.myanimelist.net/images/characters/14/294159.jpg
151,Filip Zeman,Inspector Zeman,https://myanimelist.net/character/217516/Filip_Zeman,https://cdn.myanimelist.net/images/characters/9/487867.jpg
152,Tomas Zoback,Tomas Zoback,https://myanimelist.net/character/135015/Tomas_Zoback,https://cdn.myanimelist.net/images/characters/11/294169.jpg
153,Peter Čapek,Chapek,https://myanimelist.net/character/8616/Peter_%C4%8Capek,https://cdn.myanimelist.net/images/characters/2/110947.jpg
154,Viera Černá,Anna,https://myanimelist.net/character/141030/Viera_%C4%8Cern%C3%A1,https://cdn.myanimelist.net/images/characters/3/348584.jpg
